MCALDT,TMYTM
1/31/73,5.5713958
2/28/73,5.579419263
3/30/73,5.87491359
4/30/73,5.987001949
5/31/73,6.526641041
6/29/73,7.435697157
7/31/73,8.31182573
8/31/73,8.581276902
9/28/73,7.335158262
10/31/73,6.928195619
11/30/73,7.44744155
12/31/73,7.363522061
1/31/74,7.550333681
2/28/74,7.376721753
3/29/74,8.499502314
4/30/74,8.7712717
5/31/74,7.83378472
6/28/74,7.680673134
7/31/74,7.714542796
8/30/74,9.215119446
9/30/74,6.170482096
10/31/74,6.672387473
11/29/74,7.498498524
12/31/74,6.536854894
1/31/75,5.539994396
2/28/75,4.755528236
3/31/75,5.273898732
4/30/75,5.213901662
5/30/75,4.856377345
6/30/75,5.650760335
7/31/75,6.029751322
8/29/75,5.968098304
9/30/75,6.292235264
10/31/75,5.315795001
11/28/75,5.183707452
12/31/75,5.172030836
1/30/76,4.521299487
2/27/76,4.653650321
3/31/76,4.755533627
4/30/76,4.693780694
5/28/76,5.060401979
6/30/76,5.296169644
7/30/76,5.081438599
8/31/76,4.764475863
9/30/76,5.081799684
10/29/76,4.755517453
11/30/76,4.347199536
12/31/76,4.256614426
1/31/77,4.551038439
2/28/77,4.42887475
3/31/77,4.541416093
4/29/77,4.388419741
5/31/77,4.835090151
6/30/77,4.949368002
7/29/77,5.346332523
8/31/77,5.377698643
9/30/77,5.815163636
10/31/77,5.824002823
11/30/77,5.693750452
12/30/77,5.75402501
1/31/78,5.996720854
2/28/78,6.088425174
3/31/78,6.497225357
4/28/78,6.04864834
5/31/78,6.509737254
6/30/78,6.559570476
7/31/78,6.517021918
8/31/78,7.601380813
9/29/78,8.019309167
10/31/78,8.536384101
11/30/78,9.062858733
12/29/78,8.428012815
1/31/79,9.521975613
2/28/79,9.542430033
3/30/79,9.642170324
4/30/79,9.569337251
5/31/79,9.686936307
6/29/79,8.990156704
7/31/79,9.09812997
8/31/79,10.05402019
9/28/79,10.27916806
10/31/79,11.71701192
11/30/79,10.90379885
12/31/79,9.344482923
1/31/80,11.72161402
2/29/80,13.61636786
3/31/80,15.0506468
4/30/80,9.237929853
5/30/80,7.182026332
6/30/80,6.201022816
7/31/80,7.499260454
8/29/80,9.29694616
9/30/80,10.79497051
10/31/80,11.68250315
11/28/80,14.65175102
12/31/80,12.52763363
1/30/81,13.91930237
2/27/81,14.0322819
3/31/81,13.01669945
4/30/81,13.81923605
5/29/81,16.15047685
6/30/81,14.41128228
7/31/81,14.95716962
8/31/81,14.96847719
9/30/81,13.99660456
10/30/81,12.71820006
11/30/81,10.24413688
12/31/81,9.635781727
1/29/82,11.92852716
2/26/82,11.8260103
3/31/82,13.42107715
4/30/82,12.23613649
5/28/82,11.43652284
6/30/82,11.77856961
