date,FF_O,TCMNOM_Y1,TCMNOM_Y5
19730101,,,
19730102,6,5.72,6.29
19730103,5.5,5.69,6.26
19730104,5.75,5.67,6.23
19730105,5.75,5.7,6.27
19730108,5.63,5.74,6.3
19730109,5.5,5.74,6.3
19730110,5.5,5.76,6.31
19730111,5.75,5.79,6.31
19730112,5.75,5.87,6.33
19730115,5.88,5.87,6.31
19730116,6.5,5.89,6.32
19730117,5.63,5.88,6.3
19730118,5.75,5.89,6.32
19730119,6,5.93,6.36
19730122,6,5.94,6.38
19730123,6.25,5.95,6.35
19730124,6.19,6.02,6.39
19730125,6.31,6.04,6.41
19730126,6.38,6.19,6.44
19730129,6.25,6.16,6.44
19730130,6.25,6.08,6.44
19730131,6.5,6.09,6.45
19730201,6.44,6.2,6.56
19730202,6.44,6.23,6.58
19730205,6.25,6.22,6.58
19730206,5.75,6.23,6.58
19730207,5.75,6.18,6.57
19730208,6.25,6.12,6.55
19730209,6.38,6.06,6.51
19730212,6.44,,
19730213,6.75,6.08,6.54
19730214,7.5,6.05,6.54
19730215,7,6,6.53
19730216,7.25,6.01,6.55
19730219,,,
19730220,6.25,6.13,6.65
19730221,5.25,6.21,6.65
19730222,6.38,6.21,6.64
19730223,6.38,6.23,6.6
19730226,6.75,6.38,6.72
19730227,7.5,6.43,6.72
19730228,7.5,6.43,6.73
19730301,7,6.43,6.72
19730302,7.38,6.47,6.77
19730305,7,6.52,6.79
19730306,6.75,6.63,6.83
19730307,6.25,6.63,6.8
19730308,7,6.66,6.83
19730309,7.13,6.74,6.83
19730312,7.25,6.77,6.84
19730313,7.5,6.8,6.81
19730314,6.75,6.85,6.82
19730315,7.25,6.93,6.85
19730316,7.25,7.13,6.92
19730319,7,7.06,6.85
19730320,6.75,7.02,6.85
19730321,6,7.02,6.83
19730322,7.13,7.03,6.84
19730323,7,7.01,6.84
19730326,7.13,6.98,6.76
19730327,7.25,6.96,6.74
19730328,7.25,6.98,6.69
19730329,7.5,6.99,6.68
19730330,7.38,7.09,6.81
19730402,7.38,7.09,6.81
19730403,6.88,7.07,6.77
19730404,6.38,7.03,6.71
19730405,7.13,7,6.7
19730406,7.13,6.87,6.59
19730409,6.75,6.77,6.55
19730410,6.63,6.79,6.58
19730411,6,6.85,6.63
19730412,6.88,6.86,6.64
19730413,6.88,6.81,6.55
19730416,7.13,6.77,6.57
19730417,7.75,6.77,6.66
19730418,8.25,6.74,6.67
19730419,7.38,6.77,6.71
19730420,7,,
19730423,6.88,6.82,6.76
19730424,7.25,6.79,6.73
19730425,7.5,6.8,6.72
19730426,7.38,6.76,6.67
19730427,7.38,6.77,6.7
19730430,7.63,6.8,6.73
19730501,7.88,6.83,6.77
19730502,7,6.83,6.78
19730503,7.44,6.84,6.8
19730504,7.63,6.83,6.83
19730507,7.88,6.83,6.83
19730508,7.75,6.81,6.8
19730509,7.25,6.74,6.78
19730510,7.69,6.72,6.77
19730511,7.88,6.76,6.81
19730514,7.75,6.75,6.8
19730515,7.63,6.71,6.78
19730516,8,6.7,6.76
19730517,8.13,6.85,6.81
19730518,8,6.91,6.83
19730521,7.88,6.97,6.86
19730522,8.19,7,6.86
19730523,8.25,7.08,6.84
19730524,8.13,7.04,6.8
19730525,8,7.04,6.78
19730528,,,
19730529,7.88,7.1,6.8
19730530,7.63,7.16,6.8
19730531,8.13,7.16,6.78
19730601,8.44,7.22,6.78
19730604,8.63,7.28,6.8
19730605,8.69,7.23,6.7
19730606,8.25,7.21,6.57
19730607,8.5,7.2,6.61
19730608,8.25,7.2,6.59
19730611,8.44,7.23,6.62
19730612,8.25,7.2,6.61
19730613,7.25,7.19,6.62
19730614,8.38,7.2,6.62
19730615,8.5,7.19,6.63
19730618,8.69,7.25,6.65
19730619,8.69,7.29,6.66
19730620,8.63,7.29,6.66
19730621,8.69,7.29,6.67
19730622,8.56,7.34,6.7
19730625,8.5,7.39,6.74
19730626,8.75,7.41,6.76
19730627,8.5,7.53,6.78
19730628,8.88,7.58,6.82
19730629,8.88,7.74,6.9
19730702,10,7.98,7
19730703,13,8.03,7.03
19730704,,,
19730705,9.75,8.06,7.02
19730706,9.63,8.11,7.07
19730709,9.75,8.19,7.18
19730710,9.5,8.12,7.11
19730711,8.75,8.02,7.11
19730712,9.75,8.08,7.12
19730713,9.69,8.19,7.17
19730716,11,8.24,7.21
19730717,11.75,8.26,7.22
19730718,10,8.38,7.26
19730719,10.8,8.54,7.39
19730720,10.66,8.61,7.48
19730723,10.81,8.61,7.45
19730724,10.69,8.67,7.5
19730725,9.8,8.71,7.56
19730726,10.69,8.75,7.7
19730727,10.74,8.86,7.78
19730730,11.1,8.89,7.8
19730731,11.22,8.87,7.87
19730801,8.74,8.91,7.94
19730802,10.84,8.91,7.86
19730803,10.71,8.94,7.98
19730806,10.56,9.08,8.06
19730807,10.13,9.23,8.13
